"","station","river","longitude","latitude","Yslopezyp","Yinterceptzyp","Ysigzyp","Yslopelm","Yintlm","Wslopezyp","Winterceptzyp","Wsigzyp","Wslopelm","Wintlm","Spslopezyp","Spinterceptzyp","Spsigzyp","Spslopelm","Spintlm","Sslopezyp","Sinterceptzyp","Ssigzyp","Sslopelm","Sintlm","Aslopezyp","Ainterceptzyp","Asigzyp","Aslopelm","Aintlm"
"1","REES","RHINE RIVER",6.395395,51.756918,0.000475224108764489,0.0714688367635162,0.475575685501099,0.000525395171872795,-0.0292390152393236,0.00113591856831893,-1.15226528318808,0.299296617507935,0.00111419060436488,-1.11412903134255,0.00106547125519925,-0.907317043179086,0.326751947402954,0.00133894071564357,-1.46049087003007,-0.000210442645937232,1.39877717556653,0.794800341129303,0.000141468831067945,0.719016745967418,-0.000443288129857583,1.631311223431,0.499511003494263,-0.000469050176501531,1.69565921956334
"2","DUESSELDORF","RHINE RIVER",6.770183,51.225547,0.000564486610369057,-0.100647341755352,0.413115262985229,0.000626038855445067,-0.226402782118504,0.00129166351333087,-1.50039128278262,0.235669851303101,0.00132562099201663,-1.54095406792491,0.00132158616592082,-1.43122168826946,0.188601493835449,0.00158423421431118,-1.95545324431371,-0.000281050529768067,1.55099202145043,0.66930103302002,0.000142906281639256,0.736215491567425,-0.000403952580376643,1.56434906728412,0.524071335792542,-0.000520522274588593,1.802911284324
"3","KOELN","RHINE RIVER",6.963293,50.936961,0.000611433321414994,-0.199126827823075,0.343500137329102,0.000671765807738319,-0.31598068066866,0.00143062327966035,-1.76460779071152,0.179155349731445,0.00141555592327086,-1.72090969799869,0.00145863109758653,-1.68107120231604,0.182264089584351,0.00160652933108826,-2.00215243322967,-0.000272857517783661,1.52973775826012,0.740142583847046,0.000172851467292068,0.682203921266978,-0.000356982021522641,1.46493459500573,0.530306696891785,-0.000480613833509826,1.72669650816041
"4","COCHEM","MOSELLE RIVER",7.168276,50.143351,0.000449473051666239,0.11735682114878,0.604612946510315,0.000508684002092449,0.00349819218454088,0.00114497190281387,-0.748744325585726,0.597969532012939,0.00110028403177734,-0.668761433698632,0.00077131313063307,-0.125785005342752,0.617997884750366,0.00130513910454288,-1.10329190079875,-0.000725583899712173,1.99186139643802,0.404991209506989,7.52191770043886e-05,0.455004443888201,-0.000191996723854974,0.772369649755648,0.754602909088135,-0.000422580026281345,1.29812848076073
"5","INTSCHEDE","WESER",9.125,52.964,-0.000515490102454157,1.9775360922041,0.828104794025421,-0.000241932963826268,1.47398452137561,-0.00101707361455075,3.13168678087699,0.66930103302002,-0.000492595626218179,2.19226971039459,-0.000904998186884974,3.19803494044172,0.578241229057312,-0.000546637454224705,2.53709272551937,-0.000159789425438067,0.99606736926765,0.865473091602325,0.000263621014710065,0.21792772207432,-0.000328569951998548,1.1657910306875,0.514789223670959,-0.00020243280478685,0.983346924096095
"6","NEU DARCHAU","ELBE RIVER",10.88881,53.232275,0.000226832050190789,0.516730298168761,0.914492726325989,0.000209309921786596,0.589987524219994,0.000494300241963703,-0.035141212521986,0.555619359016418,0.000877013362571486,-0.704281710226654,0.000201515228720011,1.04042572666789,0.956234276294708,0.000120351580786886,1.22274462185596,-0.000919968269848253,2.63353972611625,0.25705224275589,-0.00046690773156473,1.80321227689957,-3.05827124787586e-05,0.670589734823386,0.831825613975525,0.000300877468111866,0.0635786390005784
"7","DRESDEN","ELBE RIVER",13.738539,51.059736,-0.000106250258143832,1.17326135052392,0.697327733039856,-0.000157516651118392,1.30858950787838,0.000365474782268704,0.152118076272479,0.645148277282715,0.00032704181252182,0.337125290786878,-0.000737460738614177,2.92349983291386,0.66930103302002,-0.000674888304167303,2.80109321743289,-0.000820074863179257,2.40376218558122,0.306011736392975,-0.00030242865566535,1.47938937370639,7.46549973987659e-05,0.460322343858116,0.846745848655701,-4.14383622434227e-07,0.672430765641041
"8","LUTHERSTADT WITTENBERG","ELBE RIVER",12.646719,51.861817,0.000187952842270458,0.57529700494496,0.956234276294708,0.000133460457133294,0.738567683882513,0.00027249750298643,0.349190925324208,0.683259725570679,0.000454470476434601,0.097947730378673,6.46047738084819e-06,1.42479411852583,0.865473091602325,7.75624564253156e-05,1.3013561227995,-0.000434042270671042,1.65675868780556,0.490460991859436,-0.000101059916327436,1.09418953153187,-0.000165382888222817,0.947686139345129,0.697327733039856,9.65461439117548e-05,0.486622195678976
"9","BARBY","ELBE RIVER",11.882563,51.990129,-0.000136589756463533,1.24935982398469,0.922067999839783,-7.1054316967847e-05,1.13921928741976,-9.8129086542008e-06,0.915266316077944,0.888044953346252,0.000385025671824532,0.259213564659139,-0.000378908837835375,2.17101766822667,0.725773572921753,-0.00032386336874876,2.09631803972241,-0.000915939025945309,2.59156020851426,0.206864655017853,-0.000397298900497901,1.65748185933768,-0.000226925082426453,1.04766949817256,0.736541628837585,4.01515986259094e-05,0.581406352380191
"10","WITTENBERGE","ELBE RIVER",11.759765,52.990829,0.000241371981460979,0.492243666218474,0.869228005409241,0.00025086103660709,0.508586996143482,0.000557409326212543,-0.186608562243357,0.511714220046997,0.000947707386223786,-0.842162297853289,0.000179832008237708,1.08879781637277,0.948632597923279,0.000203757086585752,1.0616898507647,-0.000900532023213459,2.58122524785787,0.27762758731842,-0.000412847457340258,1.69325046021191,-0.000109540689127176,0.8207098957385,0.791121661663055,0.000259982775270751,0.144771384885658
"11","TANGERMUENDE","ELBE RIVER",11.978396,52.546603,3.08457280011032e-05,0.928969961652011,0.941035568714142,-1.45949332527672e-05,1.02861573923511,8.43968133755997e-05,0.739792714933589,0.846745848655701,0.000508003846669127,0.0129495740845823,-0.00034038828474821,2.11062087445291,0.715059518814087,-0.000219669763258223,1.89365280168343,-0.000931936316527728,2.63579864163396,0.200080424547195,-0.000467276279844848,1.80394454595901,-0.000231444552558593,1.05868795126557,0.725773572921753,0.000110749590208378,0.437556378310374
"12","AKEN","ELBE RIVER",12.059195,51.86316,-0.000386258360990766,1.73619439540589,0.62136435508728,-0.000435993165864603,1.85413042324265,-8.70521751181822e-05,1.06215029065448,0.967643976211548,5.8086374080548e-05,0.879842848840608,-0.000685980943442471,2.8016161827601,0.631511032581329,-0.00060170095995268,2.63257726605238,-0.00135360384732739,3.45710025822369,0.0962935090065002,-0.00087303472082208,2.60531910760146,-0.000540288972840957,1.66346179335848,0.466764807701111,-0.000337068666832847,1.33321867193911
"13","MAGDEBURG-STROMBRUECKE","ELBE RIVER",11.644,52.135,-0.000167605949035909,1.32186735463889,0.865473091602325,-0.000178856888439307,1.35040388680214,-8.27052576548546e-05,1.06458921375478,0.914492726325989,0.000262956423154668,0.487342415259568,-0.000534309665949359,2.49942531750611,0.631511032581329,-0.000516698308946375,2.4767032730171,-0.00100774408799171,2.78023910539137,0.176086038351059,-0.000505753119172722,1.87954446593168,-0.000213480082080366,1.02454967235107,0.634908854961395,3.02059688443003e-05,0.600043034238067
"14","TORGAU","ELBE RIVER",13.010575,51.558968,6.02174454551503e-05,0.834704192411539,0.865473091602325,3.51582927094944e-06,0.99312614499516,0.000461147080002566,-0.0192821035626067,0.546058297157288,0.000432430589450188,0.125540756971587,-0.000445256951906118,2.31996381820165,0.83555018901825,-0.000438530350317422,2.32871047851229,-0.00061068034855267,2.00328313358164,0.418584406375885,-0.000151985844047144,1.19745647817477,9.90379517648529e-05,0.405419105035445,1,0.000154184490616379,0.370449909751351
"15","KEMPTEN","ILLER",10.316864,47.730411,-0.000929839626170041,2.80029012813497,0.0269741397351027,-0.000841893279975113,2.64924860975252,0.000701829799840055,-0.737181552738076,0.294874906539917,0.000650546543588482,-0.630784949898145,8.98839075668876e-05,0.753277393447985,0.843010425567627,0.000222912153566906,0.493945433691279,-0.00342188267884344,8.20894222510714,0.000464608252514154,-0.00296200860813271,7.32429600255337,-0.00138558448272176,3.57291862118778,0.0559729225933552,-0.0012491197876675,3.35297389639156
"16","LANDSBERG","LECH",10.875078,48.041521,-0.00121052547790808,3.34952423187054,0.00576795311644673,-0.00115164077559243,3.25604821521629,0.000981878357987292,-1.31583089356531,0.0121496915817261,0.000961981511288664,-1.26730184998025,6.71698086261993e-05,0.675106505092317,0.880509972572327,7.1002915684338e-05,0.668189821373099,-0.00535432246302894,12.0765592416597,9.66679394309722e-08,-0.00500211236570315,11.3858376600885,-0.000587879063229204,2.12729889759067,0.386410415172577,-0.000602973032983754,2.16973229341056
